mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,9066959,209.045570,209.045547,-0.023,-0.112,C10 H9 O5      ,10,9,0,5,0,
712.91,4335064,209.056798,209.056780,-0.018,-0.085,C9 H9 N2 O4    ,9,9,2,4,0,
265.00,8444397,209.081915,209.081932,0.018,0.086,C11 H13 O4     ,11,13,0,4,0,
558.60,3308016,209.085308,209.085304,-0.004,-0.020,C8 H17 O4 S    ,8,17,0,4,1,
-1000.00,3388918,209.093160,209.093166,0.006,0.029,C10 H13 N2 O3  ,10,13,2,3,0,
-1000.00,2711051,209.118332,209.118318,-0.014,-0.066,C12 H17 O3     ,12,17,0,3,0,
679.65,2143479,210.022996,210.023038,0.042,0.199,C9 H8 N O3 S   ,9,8,1,3,1,
166.53,6961414,210.040793,210.040796,0.003,0.014,C9 H8 N O5     ,9,8,1,5,0,
74.82,16063780,210.077177,210.077181,0.004,0.020,C10 H12 N O4   ,10,12,1,4,0,
282.60,4349250,210.113578,210.113567,-0.011,-0.052,C11 H16 N O3   ,11,16,1,3,0,
-1000.00,3526185,211.007121,211.007053,-0.068,-0.323,C9 H7 O4 S     ,9,7,0,4,1,
201.17,6208568,211.024774,211.024812,0.038,0.179,C9 H7 O6       ,9,7,0,6,0,
707.61,2966593,211.036001,211.036045,0.044,0.207,C8 H7 N2 O5    ,8,7,2,5,0,
-1000.00,16056406,211.061216,211.061197,-0.018,-0.088,C10 H11 O5     ,10,11,0,5,0,
714.96,6548576,211.072428,211.072430,0.003,0.012,C9 H11 N2 O4   ,9,11,2,4,0,
42.81,12423284,211.097595,211.097583,-0.013,-0.059,C11 H15 O4     ,11,15,0,4,0,
299.51,3331731,211.133959,211.133968,0.009,0.043,C12 H19 O3     ,12,19,0,3,0,
-1000.00,2120041,212.002529,212.002302,-0.227,-1.071,C8 H6 N O4 S   ,8,6,1,4,1,
