mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
212.68,14950452,301.108137,301.108147,0.010,0.034,C17 H17 O5     ,17,17,0,5,0,
88.20,49147972,301.129297,301.129277,-0.020,-0.068,C14 H21 O7     ,14,21,0,7,0,
19.54,15728720,301.144506,301.144533,0.026,0.088,C18 H21 O4     ,18,21,0,4,0,
85.65,12763233,301.165666,301.165662,-0.004,-0.012,C15 H25 O6     ,15,25,0,6,0,
-1000.00,7682173,301.202040,301.202048,0.008,0.026,C16 H29 O5     ,16,29,0,5,0,
702.55,2518267,302.026783,302.026602,-0.180,-0.597,C9 H8 N3 O9    ,9,8,3,9,0,
378.70,4363006,302.030628,302.030625,-0.003,-0.010,C14 H8 N O7    ,14,8,1,7,0,
135.94,20214528,302.034001,302.033996,-0.005,-0.015,C11 H12 N O7 S ,11,12,1,7,1,
658.38,12780314,302.067018,302.067011,-0.007,-0.023,C15 H12 N O6   ,15,12,1,6,0,
673.87,12383005,302.070378,302.070382,0.004,0.013,C12 H16 N O6 S ,12,16,1,6,1,
571.24,17515306,302.088125,302.088140,0.015,0.051,C12 H16 N O8   ,12,16,1,8,0,
278.21,12030774,302.103432,302.103396,-0.036,-0.119,C16 H16 N O5   ,16,16,1,5,0,
558.72,10095430,302.124529,302.124526,-0.004,-0.012,C13 H20 N O7   ,13,20,1,7,0,
588.05,4329299,302.139810,302.139782,-0.028,-0.094,C17 H20 N O4   ,17,20,1,4,0,
572.49,3101150,302.981410,302.981626,0.216,0.713,C10 H7 O9 S    ,10,7,0,9,1,
455.82,2628581,302.991265,302.991009,-0.255,-0.843,C21 H3 O S     ,21,3,0,1,1,
677.55,4507127,303.014635,303.014641,0.006,0.020,C14 H7 O8      ,14,7,0,8,0,
291.99,14587386,303.018046,303.018012,-0.034,-0.112,C11 H11 O8 S   ,11,11,0,8,1,
414.78,4104705,303.027698,303.027395,-0.304,-1.002,C22 H7 S       ,22,7,0,0,1,
576.46,3361283,303.029209,303.029245,0.036,0.120,C10 H11 N2 O7 S,10,11,2,7,1,
642.15,5076486,303.033185,303.033268,0.083,0.275,C15 H11 O5 S   ,15,11,0,5,1,
116.24,14276115,303.051058,303.051026,-0.031,-0.104,C15 H11 O7     ,15,11,0,7,0,
138.04,27186710,303.054419,303.054397,-0.021,-0.070,C12 H15 O7 S   ,12,15,0,7,1,
483.16,6819359,303.065554,303.065631,0.076,0.252,C11 H15 N2 O6 S,11,15,2,6,1,
206.12,55965220,303.072139,303.072156,0.017,0.055,C12 H15 O9     ,12,15,0,9,0,
740.87,3604012,303.083352,303.083389,0.037,0.122,C11 H15 N2 O8  ,11,15,2,8,0,
44.42,28890672,303.087424,303.087412,-0.012,-0.040,C16 H15 O6     ,16,15,0,6,0,
253.42,40171072,303.108540,303.108541,0.002,0.005,C13 H19 O8     ,13,19,0,8,0,
615.36,6348361,303.119768,303.119775,0.007,0.022,C12 H19 N2 O7  ,12,19,2,7,0,
103.47,24786508,303.123800,303.123797,-0.003,-0.008,C17 H19 O5     ,17,19,0,5,0,
343.76,11134556,303.144942,303.144927,-0.015,-0.050,C14 H23 O7     ,14,23,0,7,0,
15.15,34174568,303.160183,303.160183,0.000,0.001,C18 H23 O4     ,18,23,0,4,0,
305.74,11286806,304.046289,304.046275,-0.014,-0.046,C14 H10 N O7   ,14,10,1,7,0,
363.03,12503320,304.049655,304.049646,-0.009,-0.028,C11 H14 N O7 S ,11,14,1,7,1,
735.92,2828577,304.060738,304.060880,0.141,0.465,C10 H14 N3 O6 S,10,14,3,6,1,
711.20,3089700,304.064831,304.064903,0.072,0.235,C15 H14 N O4 S ,15,14,1,4,1,
99.78,22182194,304.082685,304.082661,-0.024,-0.080,C15 H14 N O6   ,15,14,1,6,0,
511.60,4882741,304.086013,304.086032,0.019,0.063,C12 H18 N O6 S ,12,18,1,6,1,
723.42,10033474,304.103793,304.103790,-0.003,-0.010,C12 H18 N O8   ,12,18,1,8,0,
248.30,11082062,304.119037,304.119046,0.010,0.032,C16 H18 N O5   ,16,18,1,5,0,
690.36,10013022,304.140189,304.140176,-0.013,-0.043,C13 H22 N O7   ,13,22,1,7,0,
498.40,3144554,304.155489,304.155432,-0.057,-0.188,C17 H22 N O4   ,17,22,1,4,0,
552.20,6073331,304.993238,304.993254,0.016,0.053,C5 H9 N2 O11 S ,5,9,2,11,1,
492.06,2562046,305.006938,305.006659,-0.279,-0.913,C21 H5 O S     ,21,5,0,1,1,
265.25,11185168,305.030265,305.030291,0.026,0.085,C14 H9 O8      ,14,9,0,8,0,
306.25,19029010,305.033628,305.033662,0.034,0.112,C11 H13 O8 S   ,11,13,0,8,1,
742.66,4939801,305.041588,305.041524,-0.064,-0.209,C13 H9 N2 O7   ,13,9,2,7,0,
58.83,32029740,305.066664,305.066676,0.012,0.040,C15 H13 O7     ,15,13,0,7,0,
236.37,19287086,305.070044,305.070047,0.003,0.010,C12 H17 O7 S   ,12,17,0,7,1,
723.07,3058744,305.081981,305.081932,-0.049,-0.160,C19 H13 O4     ,19,13,0,4,0,
