mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
581.43,6434402,234.040808,234.040796,-0.012,-0.050,C11 H8 N O5    ,11,8,1,5,0,
193.23,7101059,234.077171,234.077181,0.010,0.043,C12 H12 N O4   ,12,12,1,4,0,
-1000.00,2253763,235.003580,235.003682,0.102,0.435,C14 H3 O4      ,14,3,0,4,0,
-1000.00,5433814,235.024806,235.024812,0.005,0.022,C11 H7 O6      ,11,7,0,6,0,
460.20,4211162,235.028230,235.028183,-0.047,-0.200,C8 H11 O6 S    ,8,11,0,6,1,
742.70,2147296,235.036042,235.036045,0.003,0.014,C10 H7 N2 O5   ,10,7,2,5,0,
514.21,12559847,235.043445,235.043439,-0.006,-0.027,C12 H11 O3 S   ,12,11,0,3,1,
9.57,14726647,235.061229,235.061197,-0.032,-0.136,C12 H11 O5     ,12,11,0,5,0,
432.37,4042234,235.064555,235.064568,0.013,0.055,C9 H15 O5 S    ,9,15,0,5,1,
712.96,6911489,235.072433,235.072430,-0.003,-0.011,C11 H11 N2 O4  ,11,11,2,4,0,
37.53,11329048,235.097591,235.097583,-0.009,-0.037,C13 H15 O4     ,13,15,0,4,0,
248.05,3643960,235.133989,235.133968,-0.021,-0.088,C14 H19 O3     ,14,19,0,3,0,
691.55,2137429,236.020100,236.020060,-0.040,-0.169,C10 H6 N O6    ,10,6,1,6,0,
72.98,10961270,236.056448,236.056446,-0.002,-0.010,C11 H10 N O5   ,11,10,1,5,0,
-1000.00,6704535,236.092839,236.092832,-0.007,-0.030,C12 H14 N O4   ,12,14,1,4,0,
-1000.00,2724762,236.096198,236.096203,0.004,0.019,C9 H18 N O4 S  ,9,18,1,4,1,
711.06,2323876,236.107415,236.107436,0.021,0.089,C8 H18 N3 O3 S ,8,18,3,3,1,
492.40,2185647,236.119450,236.119321,-0.129,-0.546,C15 H14 N3     ,15,14,3,0,0,
592.91,4941038,237.043841,237.043833,-0.009,-0.036,C8 H13 O6 S    ,8,13,0,6,1,
729.41,4822262,237.051777,237.051695,-0.083,-0.348,C10 H9 N2 O5   ,10,9,2,5,0,
19.44,25316620,237.076827,237.076847,0.020,0.086,C12 H13 O5     ,12,13,0,5,0,
714.68,8332566,237.088070,237.088080,0.010,0.043,C11 H13 N2 O4  ,11,13,2,4,0,
-1000.00,13260077,237.113239,237.113233,-0.006,-0.027,C13 H17 O4     ,13,17,0,4,0,
759.01,2599735,237.124435,237.124466,0.031,0.130,C12 H17 N2 O3  ,12,17,2,3,0,
-1000.00,3985741,237.149682,237.149618,-0.064,-0.269,C14 H21 O3     ,14,21,0,3,0,
562.26,3100763,238.018015,238.017952,-0.063,-0.265,C10 H8 N O4 S  ,10,8,1,4,1,
507.80,7108715,238.035739,238.035711,-0.029,-0.120,C10 H8 N O6    ,10,8,1,6,0,
78.59,17776780,238.072104,238.072096,-0.007,-0.031,C11 H12 N O5   ,11,12,1,5,0,
-1000.00,5169324,238.108408,238.108482,0.074,0.309,C12 H16 N O4   ,12,16,1,4,0,
-1000.00,14689232,239.001982,239.001968,-0.014,-0.060,C10 H7 O5 S    ,10,7,0,5,1,
-1000.00,5070816,239.019721,239.019726,0.005,0.022,C10 H7 O7      ,10,7,0,7,0,
17.66,21787648,239.056101,239.056112,0.011,0.045,C11 H11 O6     ,11,11,0,6,0,
728.62,10093579,239.067348,239.067345,-0.003,-0.013,C10 H11 N2 O5  ,10,11,2,5,0,
612.77,2646030,239.071285,239.071368,0.083,0.345,C15 H11 O3     ,15,11,0,3,0,
7.02,31097890,239.092511,239.092497,-0.014,-0.058,C12 H15 O5     ,12,15,0,5,0,
715.95,8119340,239.103718,239.103731,0.013,0.053,C11 H15 N2 O4  ,11,15,2,4,0,
78.16,17736770,239.128911,239.128883,-0.028,-0.118,C13 H19 O4     ,13,19,0,4,0,
697.60,3238988,239.140128,239.140116,-0.012,-0.052,C12 H19 N2 O3  ,12,19,2,3,0,
581.47,6091632,240.033628,240.033602,-0.026,-0.108,C10 H10 N O4 S ,10,10,1,4,1,
543.44,15259520,240.051371,240.051361,-0.010,-0.042,C10 H10 N O6   ,10,10,1,6,0,
