mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
694.44,2314413,212.038780,212.038688,-0.092,-0.435,C9 H10 N O3 S  ,9,10,1,3,1,
475.24,4943036,212.056430,212.056446,0.016,0.077,C9 H10 N O5    ,9,10,1,5,0,
517.57,2301150,212.986278,212.986318,0.040,0.187,C8 H5 O5 S     ,8,5,0,5,1,
-1000.00,10857469,213.022715,213.022703,-0.011,-0.053,C9 H9 O4 S     ,9,9,0,4,1,
-1000.00,10478605,213.040449,213.040462,0.012,0.058,C9 H9 O6       ,9,9,0,6,0,
16.47,27012140,213.076848,213.076847,-0.000,-0.002,C10 H13 O5     ,10,13,0,5,0,
37.57,11654220,213.113243,213.113233,-0.010,-0.048,C11 H17 O4     ,11,17,0,4,0,
-1000.00,4793227,214.072101,214.072096,-0.005,-0.024,C9 H12 N O5    ,9,12,1,5,0,
-1000.00,6870708,215.001965,215.001968,0.003,0.012,C8 H7 O5 S     ,8,7,0,5,1,
578.50,2916561,215.035010,215.034982,-0.028,-0.130,C12 H7 O4      ,12,7,0,4,0,
170.13,9595604,215.038361,215.038353,-0.007,-0.035,C9 H11 O4 S    ,9,11,0,4,1,
697.15,2093792,215.052186,215.052089,-0.097,-0.452,C4 H11 N2 O8   ,4,11,2,8,0,
-1000.00,12770019,215.056141,215.056112,-0.029,-0.134,C9 H11 O6      ,9,11,0,6,0,
18.26,20226820,215.092506,215.092497,-0.009,-0.040,C10 H15 O5     ,10,15,0,5,0,
-1000.00,6448931,215.128896,215.128883,-0.014,-0.064,C11 H19 O4     ,11,19,0,4,0,
668.67,2242135,216.066550,216.066617,0.067,0.309,C12 H10 N O3   ,12,10,1,3,0,
470.90,2315625,216.087764,216.087746,-0.018,-0.084,C9 H14 N O5    ,9,14,1,5,0,
-1000.00,5129625,217.017622,217.017618,-0.004,-0.017,C8 H9 O5 S     ,8,9,0,5,1,
457.74,3509177,217.053919,217.054003,0.084,0.387,C9 H13 O4 S    ,9,13,0,4,1,
138.44,9509321,217.071798,217.071762,-0.036,-0.167,C9 H13 O6      ,9,13,0,6,0,
-1000.00,2328022,217.087011,217.087018,0.007,0.031,C13 H13 O3     ,13,13,0,3,0,
137.27,6787561,217.108157,217.108147,-0.010,-0.047,C10 H17 O5     ,10,17,0,5,0,
419.75,2681061,217.976460,217.976481,0.021,0.099,C6 H4 N O6 S   ,6,4,1,6,1,
509.48,2777379,218.045946,218.045881,-0.064,-0.296,C11 H8 N O4    ,11,8,1,4,0,
596.24,2769219,218.082275,218.082267,-0.008,-0.038,C12 H12 N O3   ,12,12,1,3,0,
227.35,4461192,219.029945,219.029897,-0.048,-0.218,C11 H7 O5      ,11,7,0,5,0,
432.50,4405899,219.033261,219.033268,0.007,0.031,C8 H11 O5 S    ,8,11,0,5,1,
-1000.00,6847657,219.066323,219.066282,-0.041,-0.187,C12 H11 O4     ,12,11,0,4,0,
-1000.00,6237371,219.087376,219.087412,0.035,0.162,C9 H15 O6      ,9,15,0,6,0,
-1000.00,3838665,219.102659,219.102668,0.009,0.042,C13 H15 O3     ,13,15,0,3,0,
671.15,2637307,220.025161,220.025146,-0.015,-0.067,C10 H6 N O5    ,10,6,1,5,0,
374.02,2714651,220.061535,220.061531,-0.004,-0.018,C11 H10 N O4   ,11,10,1,4,0,
-1000.00,2347579,220.097924,220.097917,-0.007,-0.034,C12 H14 N O3   ,12,14,1,3,0,
-1000.00,2655062,220.991353,220.991403,0.050,0.228,C10 H5 O4 S    ,10,5,0,4,1,
-1000.00,2898278,221.009160,221.009161,0.002,0.008,C10 H5 O6      ,10,5,0,6,0,
39.29,12083078,221.045571,221.045547,-0.024,-0.109,C11 H9 O5      ,11,9,0,5,0,
27.06,29857674,221.048954,221.048918,-0.036,-0.164,C8 H13 O5 S    ,8,13,0,5,1,
747.86,2490768,221.056688,221.056780,0.093,0.419,C10 H9 N2 O4   ,10,9,2,4,0,
99.08,11956135,221.081951,221.081932,-0.019,-0.084,C12 H13 O4     ,12,13,0,4,0,
-1000.00,4138951,221.118304,221.118318,0.014,0.062,C13 H17 O3     ,13,17,0,3,0,
473.06,2298842,221.139562,221.139447,-0.115,-0.518,C10 H21 O5     ,10,21,0,5,0,
-1000.00,3708904,221.154682,221.154703,0.021,0.096,C14 H21 O2     ,14,21,0,2,0,
-1000.00,5362430,222.040834,222.040796,-0.038,-0.173,C10 H8 N O5    ,10,8,1,5,0,
