mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,3736956,1341.827846,1341.826391,-1.455,-1.085,C66 H121 N2 O25,66,121,2,25,0,
-1000.00,3451889,1346.850160,1346.850438,0.278,0.207,C69 H124 N3 O20 S,69,124,3,20,1,
-1000.00,3451889,1346.850160,1346.850577,0.417,0.309,C90 H112 N3 O7 ,90,112,3,7,0,
-1000.00,3451889,1346.850160,1346.851037,0.877,0.651,C20 H23 N2 O66 ,20,23,2,66,0,
-1000.00,3451889,1346.850160,1346.851090,0.930,0.690,C77 H120 N O18 ,77,120,1,18,0,
-1000.00,3451889,1346.850160,1346.849187,-0.973,-0.722,C32 H19 O59    ,32,19,0,59,0,
-1000.00,3894056,1352.806229,1352.805990,-0.239,-0.177,C66 H118 N3 O25,66,118,3,25,0,
-1000.00,3894056,1352.806229,1352.805608,-0.621,-0.459,C30 H17 O59 S  ,30,17,0,59,1,
-1000.00,3894056,1352.806229,1352.806997,0.768,0.568,C88 H110 N3 O7 S,88,110,3,7,1,
-1000.00,3894056,1352.806229,1352.807458,1.229,0.909,C18 H21 N2 O66 S,18,21,2,66,1,
-1000.00,3894056,1352.806229,1352.807511,1.281,0.947,C75 H118 N O18 S,75,118,1,18,1,
-1000.00,3894056,1352.806229,1352.807597,1.368,1.011,C39 H9 N2 O53  ,39,9,2,53,0,
-1000.00,3470009,1355.898151,1355.897705,-0.445,-0.328,C77 H127 O19   ,77,127,0,19,0,
-1000.00,3470009,1355.898151,1355.897653,-0.498,-0.367,C20 H30 N O67  ,20,30,1,67,0,
-1000.00,3470009,1355.898151,1355.898661,0.510,0.376,C42 H22 N O49 S,42,22,1,49,1,
-1000.00,3470009,1355.898151,1355.897192,-0.958,-0.707,C90 H119 N2 O8 ,90,119,2,8,0,
-1000.00,3470009,1355.898151,1355.897140,-1.011,-0.745,C33 H22 N3 O56 ,33,22,3,56,0,
-1000.00,3470009,1355.898151,1355.897054,-1.097,-0.809,C69 H131 N2 O21 S,69,131,2,21,1,
-1000.00,3470009,1355.898151,1355.899556,1.405,1.036,C65 H131 N2 O26,65,131,2,26,0,
-1000.00,3481637,1357.160553,1357.160493,-0.060,-0.044,C55 H45 N2 O39 ,55,45,2,39,0,
-1000.00,3481637,1357.160553,1357.160407,-0.146,-0.108,C91 H154 N O4 S,91,154,1,4,1,
-1000.00,3481637,1357.160553,1357.160355,-0.199,-0.146,C34 H57 N2 O52 S,34,57,2,52,1,
-1000.00,3481637,1357.160553,1357.161006,0.453,0.334,C42 H53 O50    ,42,53,0,50,0,
-1000.00,3593798,1362.764810,1362.764805,-0.004,-0.003,C29 H11 N2 O59 S,29,11,2,59,1,
-1000.00,3593798,1362.764810,1362.764858,0.048,0.035,C86 H108 N O11 S,86,108,1,11,1,
-1000.00,3593798,1362.764810,1362.765319,0.509,0.373,C16 H19 O70 S  ,16,19,0,70,1,
-1000.00,3593798,1362.764810,1362.765457,0.647,0.475,C37 H7 O57     ,37,7,0,57,0,
-1000.00,3593798,1362.764810,1362.763850,-0.960,-0.704,C64 H116 N O29 ,64,116,1,29,0,
-1000.00,3593798,1362.764810,1362.763337,-1.473,-1.081,C77 H108 N3 O18,77,108,3,18,0,
-1000.00,3583763,1363.516085,1363.515304,-0.781,-0.573,C76 H83 O21 S  ,76,83,0,21,1,
-1000.00,3583763,1363.516085,1363.517155,1.070,0.785,C64 H87 N2 O28 S,64,87,2,28,1,
-1000.00,3600456,1364.660391,1364.660448,0.057,0.042,C63 H102 N3 O29,63,102,3,29,0,
-1000.00,3600456,1364.660391,1364.660066,-0.325,-0.238,C27 H O63 S    ,27,1,0,63,1,
-1000.00,3600456,1364.660391,1364.659058,-1.333,-0.977,C5 H9 O81      ,5,9,0,81,0,
-1000.00,3575980,1365.035007,1365.035154,0.147,0.108,C36 H41 N2 O52 S,36,41,2,52,1,
-1000.00,3575980,1365.035007,1365.035206,0.200,0.146,C93 H138 N O4 S,93,138,1,4,1,
-1000.00,3575980,1365.035007,1365.035806,0.799,0.585,C44 H37 O50    ,44,37,0,50,0,
-1000.00,3575980,1365.035007,1365.033686,-1.321,-0.968,C84 H138 N3 O11,84,138,3,11,0,
-1000.00,3901172,1371.151800,1371.151557,-0.243,-0.177,C98 H148 N O2  ,98,148,1,2,0,
-1000.00,3901172,1371.151800,1371.151504,-0.295,-0.215,C41 H51 N2 O50 ,41,51,2,50,0,
-1000.00,3901172,1371.151800,1371.150905,-0.895,-0.653,C90 H152 N3 O4 S,90,152,3,4,1,
