mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,8804139,211.097638,211.097583,-0.056,-0.265,C11 H15 O4     ,11,15,0,4,0,
402.65,3856204,211.133937,211.133968,0.031,0.148,C12 H19 O3     ,12,19,0,3,0,
624.35,4271713,212.020028,212.020060,0.032,0.151,C8 H6 N O6     ,8,6,1,6,0,
49.08,11550337,212.056452,212.056446,-0.006,-0.029,C9 H10 N O5    ,9,10,1,5,0,
-1000.00,12156577,212.092853,212.092832,-0.022,-0.102,C10 H14 N O4   ,10,14,1,4,0,
114.58,10138081,213.022726,213.022703,-0.023,-0.106,C9 H9 O4 S     ,9,9,0,4,1,
168.17,8406512,213.040427,213.040462,0.034,0.161,C9 H9 O6       ,9,9,0,6,0,
733.90,3070971,213.051669,213.051695,0.026,0.120,C8 H9 N2 O5    ,8,9,2,5,0,
9.82,17568272,213.076817,213.076847,0.030,0.141,C10 H13 O5     ,10,13,0,5,0,
744.85,3585563,213.088081,213.088080,-0.000,-0.000,C9 H13 N2 O4   ,9,13,2,4,0,
-1000.00,9350706,213.113230,213.113233,0.002,0.011,C11 H17 O4     ,11,17,0,4,0,
-1000.00,12613006,214.072130,214.072096,-0.034,-0.157,C9 H12 N O5    ,9,12,1,5,0,
306.05,3945903,214.108489,214.108482,-0.007,-0.034,C10 H16 N O4   ,10,16,1,4,0,
-1000.00,4126931,215.001940,215.001968,0.028,0.128,C8 H7 O5 S     ,8,7,0,5,1,
210.48,7078132,215.038370,215.038353,-0.017,-0.078,C9 H11 O4 S    ,9,11,0,4,1,
95.21,15075588,215.056141,215.056112,-0.029,-0.135,C9 H11 O6      ,9,11,0,6,0,
-1000.00,19937572,215.092502,215.092497,-0.005,-0.022,C10 H15 O5     ,10,15,0,5,0,
666.04,6436143,215.103775,215.103731,-0.045,-0.208,C9 H15 N2 O4   ,9,15,2,4,0,
129.25,6652230,215.128874,215.128883,0.008,0.039,C11 H19 O4     ,11,19,0,4,0,
331.53,5800055,216.033616,216.033602,-0.014,-0.065,C8 H10 N O4 S  ,8,10,1,4,1,
504.55,4042887,216.051362,216.051361,-0.002,-0.008,C8 H10 N O6    ,8,10,1,6,0,
666.11,2655893,216.066679,216.066617,-0.062,-0.288,C12 H10 N O3   ,12,10,1,3,0,
-1000.00,7892136,216.087752,216.087746,-0.006,-0.029,C9 H14 N O5    ,9,14,1,5,0,
-1000.00,2604745,216.124207,216.124132,-0.075,-0.348,C10 H18 N O4   ,10,18,1,4,0,
-1000.00,2298322,216.981195,216.981232,0.037,0.173,C7 H5 O6 S     ,7,5,0,6,1,
95.42,9512947,217.017600,217.017618,0.018,0.084,C8 H9 O5 S     ,8,9,0,5,1,
186.32,9508900,217.071770,217.071762,-0.009,-0.040,C9 H13 O6      ,9,13,0,6,0,
-1000.00,15409221,217.108165,217.108147,-0.018,-0.081,C10 H17 O5     ,10,17,0,5,0,
-1000.00,2206054,217.144655,217.144533,-0.122,-0.564,C11 H21 O4     ,11,21,0,4,0,
-1000.00,2507644,218.012801,218.012867,0.066,0.304,C7 H8 N O5 S   ,7,8,1,5,1,
525.35,3328410,218.045937,218.045881,-0.056,-0.255,C11 H8 N O4    ,11,8,1,4,0,
441.46,5069213,218.049272,218.049252,-0.020,-0.090,C8 H12 N O4 S  ,8,12,1,4,1,
