mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,16266409,211.061213,211.061197,-0.016,-0.074,C10 H11 O5     ,10,11,0,5,0,
757.10,3118259,211.072519,211.072430,-0.089,-0.421,C9 H11 N2 O4   ,9,11,2,4,0,
-1000.00,12324040,211.097609,211.097583,-0.026,-0.124,C11 H15 O4     ,11,15,0,4,0,
106.71,6553832,211.133986,211.133968,-0.018,-0.083,C12 H19 O3     ,12,19,0,3,0,
-1000.00,18008016,212.002332,212.002302,-0.029,-0.139,C8 H6 N O4 S   ,8,6,1,4,1,
675.28,3012576,212.020091,212.020060,-0.031,-0.145,C8 H6 N O6     ,8,6,1,6,0,
280.62,4095999,212.056452,212.056446,-0.006,-0.030,C9 H10 N O5    ,9,10,1,5,0,
-1000.00,2381342,212.092859,212.092832,-0.028,-0.132,C10 H14 N O4   ,10,14,1,4,0,
-1000.00,11172672,213.022724,213.022703,-0.021,-0.098,C9 H9 O4 S     ,9,9,0,4,1,
-1000.00,8567631,213.040482,213.040462,-0.020,-0.094,C9 H9 O6       ,9,9,0,6,0,
449.30,4757330,213.043810,213.043833,0.023,0.108,C6 H13 O6 S    ,6,13,0,6,1,
10.54,21228398,213.076833,213.076847,0.014,0.064,C10 H13 O5     ,10,13,0,5,0,
43.39,12524430,213.113237,213.113233,-0.004,-0.020,C11 H17 O4     ,11,17,0,4,0,
-1000.00,2237357,213.149696,213.149618,-0.077,-0.363,C12 H21 O3     ,12,21,0,3,0,
500.24,2080717,213.185939,213.186004,0.065,0.303,C13 H25 O2     ,13,25,0,2,0,
-1000.00,2169243,214.014711,214.014581,-0.130,-0.607,C11 H4 N O4    ,11,4,1,4,0,
585.46,2186413,214.035734,214.035711,-0.023,-0.109,C8 H8 N O6     ,8,8,1,6,0,
95.39,8564428,214.072131,214.072096,-0.035,-0.163,C9 H12 N O5    ,9,12,1,5,0,
-1000.00,2482412,214.108616,214.108482,-0.135,-0.630,C10 H16 N O4   ,10,16,1,4,0,
