mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
641.12,2406747,219.059676,219.059758,0.082,0.374,C11 H11 N2 O S ,11,11,2,1,1,
495.81,6295905,219.066274,219.066282,0.009,0.041,C12 H11 O4     ,12,11,0,4,0,
660.92,2354020,219.069647,219.069654,0.007,0.030,C9 H15 O4 S    ,9,15,0,4,1,
-1000.00,4928884,219.087408,219.087412,0.004,0.017,C9 H15 O6      ,9,15,0,6,0,
-1000.00,2840961,219.102648,219.102668,0.020,0.090,C13 H15 O3     ,13,15,0,3,0,
-1000.00,3644820,219.123750,219.123797,0.048,0.218,C10 H19 O5     ,10,19,0,5,0,
526.29,3742900,220.025090,220.025146,0.056,0.255,C10 H6 N O5    ,10,6,1,5,0,
353.01,7390420,220.061549,220.061531,-0.017,-0.078,C11 H10 N O4   ,11,10,1,4,0,
-1000.00,3533044,220.097929,220.097917,-0.012,-0.054,C12 H14 N O3   ,12,14,1,3,0,
-1000.00,2287631,220.991467,220.991403,-0.064,-0.289,C10 H5 O4 S    ,10,5,0,4,1,
-1000.00,2197530,221.003422,221.003288,-0.133,-0.603,C17 H O        ,17,1,0,1,0,
-1000.00,2945055,221.009162,221.009161,-0.000,-0.001,C10 H5 O6      ,10,5,0,6,0,
-1000.00,2913314,221.012575,221.012533,-0.042,-0.190,C7 H9 O6 S     ,7,9,0,6,1,
-1000.00,11027520,221.045573,221.045547,-0.026,-0.117,C11 H9 O5      ,11,9,0,5,0,
-1000.00,7592003,221.048922,221.048918,-0.004,-0.016,C8 H13 O5 S    ,8,13,0,5,1,
-1000.00,11787360,221.081916,221.081932,0.017,0.076,C12 H13 O4     ,12,13,0,4,0,
-1000.00,2415233,221.118318,221.118318,0.000,0.000,C13 H17 O3     ,13,17,0,3,0,
-1000.00,5006497,221.154690,221.154703,0.014,0.063,C14 H21 O2     ,14,21,0,2,0,
208.29,6047672,222.040811,222.040796,-0.015,-0.069,C10 H8 N O5    ,10,8,1,5,0,
-1000.00,8933337,222.077201,222.077181,-0.019,-0.088,C11 H12 N O4   ,11,12,1,4,0,
-1000.00,4341754,222.113597,222.113567,-0.030,-0.135,C12 H16 N O3   ,12,16,1,3,0,
-1000.00,2170614,222.966794,222.966645,-0.149,-0.667,C4 H3 N2 O7 S  ,4,3,2,7,1,
-1000.00,8020778,223.024788,223.024812,0.024,0.107,C10 H7 O6      ,10,7,0,6,0,
94.10,17673034,223.061180,223.061197,0.017,0.074,C11 H11 O5     ,11,11,0,5,0,
709.56,4329293,223.064586,223.064568,-0.018,-0.079,C8 H15 O5 S    ,8,15,0,5,1,
707.17,6101844,223.072437,223.072430,-0.007,-0.030,C10 H11 N2 O4  ,10,11,2,4,0,
745.09,2395749,223.091217,223.091058,-0.159,-0.715,C11 H15 N2 O S ,11,15,2,1,1,
-1000.00,12391275,223.097584,223.097583,-0.001,-0.005,C12 H15 O4     ,12,15,0,4,0,
-1000.00,4863861,223.108828,223.108816,-0.012,-0.053,C11 H15 N2 O3  ,11,15,2,3,0,
-1000.00,3335052,223.133976,223.133968,-0.008,-0.034,C13 H19 O3     ,13,19,0,3,0,
523.04,2374312,224.020064,224.020060,-0.003,-0.015,C9 H6 N O6     ,9,6,1,6,0,
754.38,2540984,224.038731,224.038688,-0.043,-0.194,C10 H10 N O3 S ,10,10,1,3,1,
